,Ask_rate,Accuracy
0,43.32977588046958,91.07
1,25.506937033084313,76.35
2,55.81643543223052,93.07
3,56.990394877267875,92.56
4,61.15261472785485,92.15
5,40.981856990394874,88.81
6,38.95410885805763,90.78
7,61.89967982924226,91.27
8,33.72465314834579,74.67
9,55.81643543223052,92.75
10,54.53575240128068,93.12
11,51.2273212379936,91.97
12,47.705442902881536,91.99
13,56.136606189967985,92.21
14,54.749199573105656,93.19
15,48.45250800426894,93.44
16,55.70971184631804,93.36
17,56.45677694770544,93.0
18,52.61472785485592,91.79
19,53.788687299893276,92.92
20,54.96264674493063,92.98
21,54.53575240128068,92.82
22,26.680896478121664,91.08
23,57.097118463180365,94.6
24,32.123799359658484,85.19
25,28.17502668089648,79.86
26,59.018143009605126,91.82
27,52.18783351120597,92.5
28,38.52721451440768,90.3
29,51.867662753468515,92.58
30,57.097118463180365,91.39
31,57.950907150480255,91.55
32,43.32977588046958,92.8
33,59.55176093916756,93.02
34,51.76093916755603,93.32
35,32.33724653148346,88.82
36,55.28281750266809,93.67
37,56.136606189967985,91.12
38,28.068303094983992,87.78
39,49.6264674493063,93.57
40,57.52401280683031,92.85
41,36.71291355389541,88.84
42,54.64247598719317,91.7
43,56.990394877267875,92.0
44,45.67769477054429,91.18
45,53.36179295624333,92.56
46,40.021344717182494,90.74
47,64.14087513340448,91.82
48,25.400213447171826,83.85
49,32.017075773746,87.29
50,29.135538954108856,70.69
51,58.69797225186766,94.12
52,55.49626467449306,92.69
53,29.882604055496266,88.04
54,58.69797225186766,92.61
55,56.67022411953042,91.87
56,31.376734258271078,84.34
57,53.89541088580577,94.01
58,52.934898612593386,94.03
59,35.432230522945574,90.94
60,42.58271077908218,91.46
61,56.45677694770544,91.98
62,62.646744930629666,92.02
63,29.77588046958378,65.48
64,53.255069370330844,92.27
65,54.64247598719317,92.44
66,56.24332977588047,92.83
67,56.7769477054429,93.19
68,42.47598719316969,91.22
69,44.07684098185699,90.38
70,29.242262540021343,76.53
71,44.07684098185699,91.66
72,29.77588046958378,89.43
73,49.83991462113127,92.64
74,32.657417289220916,89.07
75,53.788687299893276,91.88
76,25.720384204909283,90.56
77,37.13980789754536,89.71
78,35.859124866595515,87.3
79,59.12486659551761,92.65
80,54.32230522945571,92.69
81,41.72892209178229,89.53
82,38.31376734258271,90.07
83,31.376734258271078,92.06
84,29.562433297758805,89.63
85,55.92315901814301,92.34
86,58.16435432230523,92.16
87,52.828175026680896,92.77
88,32.33724653148346,84.56
89,48.66595517609392,94.53
90,51.33404482390608,92.54
91,58.48452508004269,92.46
92,41.51547491995731,92.56
93,49.946638207043755,92.43
94,19.74386339381003,83.4
95,32.97758804695838,89.26
96,61.68623265741729,92.2
97,26.467449306296693,87.42
98,31.27001067235859,89.32
99,34.044823906083245,90.52
100,52.61472785485592,93.28
101,40.021344717182494,90.07
102,57.20384204909285,93.29
103,46.95837780149413,92.74
104,59.55176093916756,92.46
105,55.60298826040555,93.03
106,43.863393810032015,92.13
107,53.255069370330844,93.12
108,57.20384204909285,91.85
109,28.281750266808963,73.47
110,54.00213447171825,92.75
111,50.80042689434365,92.79
112,28.922091782283886,87.46
113,37.03308431163287,81.83
114,39.91462113127001,91.43
115,58.59124866595518,89.44
116,30.30949839914621,89.46
117,24.759871931696907,89.54
118,29.028815368196373,88.72
119,20.384204909284954,87.92
120,40.34151547491996,91.76
121,53.36179295624333,88.36
122,26.25400213447172,80.51
123,29.989327641408753,58.56
124,28.068303094983992,89.84
125,40.128068303094985,88.17
126,39.48772678762006,89.98
127,70.01067235859125,91.35
128,48.45250800426894,92.89
129,40.55496264674493,90.88
130,53.68196371398079,92.57
131,53.255069370330844,93.4
132,58.80469583778015,92.89
133,28.922091782283886,89.4
134,51.65421558164354,92.07
135,55.38954108858058,92.15
136,43.863393810032015,92.69
137,29.34898612593383,90.47
138,41.088580576307365,93.58
139,54.4290288153682,92.26
140,51.974386339381006,92.01
141,59.23159018143009,92.12
142,54.00213447171825,92.37
143,32.123799359658484,85.04
144,26.040554962646745,90.22
145,51.2273212379936,91.55
146,56.990394877267875,93.17
147,52.08110992529349,91.86
148,53.14834578441835,91.01
149,47.065101387406614,91.69
150,54.215581643543224,91.83
151,48.66595517609392,90.81
152,25.720384204909283,33.82
153,29.989327641408753,90.67
154,55.92315901814301,94.3
155,31.803628601921023,86.46
156,41.72892209178229,90.98
157,44.18356456776948,93.23
158,38.52721451440768,91.07
159,55.176093916755605,93.19
160,48.45250800426894,91.81
161,58.27107790821771,91.81
162,31.27001067235859,85.96
163,59.76520811099253,91.91
164,28.281750266808963,84.91
165,43.11632870864461,92.87
166,58.59124866595518,92.14
167,56.45677694770544,92.47
168,54.53575240128068,92.95
169,45.14407684098186,88.88
170,29.77588046958378,89.68
171,28.495197438633937,82.05
172,57.097118463180365,92.35
173,54.749199573105656,91.37
174,58.16435432230523,92.35
175,42.3692636072572,89.55
176,55.38954108858058,93.06
177,55.38954108858058,92.08
178,21.878335112059766,87.18
179,55.49626467449306,92.75
180,28.38847385272145,88.37
181,54.4290288153682,91.03
182,57.950907150480255,93.08
183,56.7769477054429,91.93
184,29.34898612593383,91.82
185,37.886872998932766,89.63
186,28.70864461045891,88.88
187,48.34578441835646,91.48
188,41.942369263607254,91.74
189,23.052294557097117,67.01
190,41.40875133404482,92.96
191,56.563500533617926,92.87
192,49.41302027748132,91.29
193,24.86659551760939,84.79
194,59.55176093916756,93.7
195,63.073639274279614,92.35
196,30.416221985058698,68.23
197,50.907150480256135,92.06
198,42.15581643543223,91.4
199,52.934898612593386,92.98
200,46.31803628601921,91.49
201,29.242262540021343,85.45
202,61.47278548559232,92.06
203,24.65314834578442,84.48
204,30.843116328708646,81.62
205,56.136606189967985,91.8
206,55.92315901814301,92.86
207,28.281750266808963,65.6
208,57.52401280683031,91.47
209,32.44397011739594,87.31
210,47.38527214514408,91.3
211,44.823906083244395,93.0
212,41.83564567769477,89.57
213,29.562433297758805,91.57
214,55.92315901814301,92.37
215,42.58271077908218,92.63
216,43.32977588046958,91.9
217,41.19530416221985,80.57
218,53.255069370330844,91.1
219,29.882604055496266,86.86
220,58.27107790821771,92.16
221,47.27854855923159,91.38
222,37.13980789754536,89.86
223,34.898612593383135,87.99
